F6E9;asuperior;SUPERSCRIPT LATIN SMALL LETTER A;<super> 0061
F6EA;bsuperior;SUPERSCRIPT LATIN SMALL LETTER B;<super> 0062
F6EB;dsuperior;SUPERSCRIPT LATIN SMALL LETTER D;<super> 0064
F6EC;esuperior;SUPERSCRIPT LATIN SMALL LETTER E;<super> 0065
F6ED;isuperior;SUPERSCRIPT LATIN SMALL LETTER I;<super> 0069
F6EE;lsuperior;SUPERSCRIPT LATIN SMALL LETTER L;<super> 006C
F6EF;msuperior;SUPERSCRIPT LATIN SMALL LETTER M;<super> 006D
F6F0;osuperior;SUPERSCRIPT LATIN SMALL LETTER O;<super> 006F
F6F1;rsuperior;SUPERSCRIPT LATIN SMALL LETTER R;<super> 0072
F6F2;ssuperior;SUPERSCRIPT LATIN SMALL LETTER S;<super> 0073
F6F3;tsuperior;SUPERSCRIPT LATIN SMALL LETTER T;<super> 0074

# --- Small capitals and oldstyle figures, and characters designed to be
#     used with them.

F6F4;Brevesmall;SMALL CAPITAL BREVE;<sc> 02D8
F6F5;Caronsmall;SMALL CAPITAL CARON;<sc> 02C7
F6F6;Circumflexsmall;SMALL CAPITAL MODIFIER LETTER CIRCUMFLEX ACCENT;<sc> 02C6
F6F7;Dotaccentsmall;SMALL CAPITAL DOT ABOVE;<sc> 02D9
F6F8;Hungarumlautsmall;SMALL CAPITAL DOUBLE ACUTE ACCENT;<sc> 02DD
F6F9;Lslashsmall;LATIN SMALL CAPITAL LETTER L WITH STROKE;<sc> 0142
F6FA;OEsmall;LATIN SMALL CAPITAL LIGATURE OE;<sc> 0153
F6FB;Ogoneksmall;SMALL CAPITAL OGONEK;<sc> 02DB
F6FC;Ringsmall;SMALL CAPITAL RING ABOVE;<sc> 02DA
F6FD;Scaronsmall;LATIN SMALL CAPITAL LETTER S WITH CARON;<sc> 0161
F6FE;Tildesmall;SMALL CAPITAL SMALL TILDE;<sc> 02DC
F6FF;Zcaronsmall;LATIN SMALL CAPITAL LETTER Z WITH CARON;<sc> 017E
F721;exclamsmall;SMALL CAPITAL EXCLAMATION MARK;<sc> 0021
F724;dollaroldstyle;OLDSTYLE DOLLAR SIGN;<osf> 0024
F726;ampersandsmall;SMALL CAPITAL AMPERSAND;<sc> 0026
F730;zerooldstyle;OLDSTYLE DIGIT ZERO;<osf> 0030
F731;oneoldstyle;OLDSTYLE DIGIT ONE;<osf> 0031
F732;twooldstyle;OLDSTYLE DIGIT TWO;<osf> 0032
F733;threeoldstyle;OLDSTYLE DIGIT THREE;<osf> 0033
F734;fouroldstyle;OLDSTYLE DIGIT FOUR;<osf> 0034
F735;fiveoldstyle;OLDSTYLE DIGIT FIVE;<osf> 0035
F736;sixoldstyle;OLDSTYLE DIGIT SIX;<osf> 0036
F737;sevenoldstyle;OLDSTYLE DIGIT SEVEN;<osf> 0037
F738;eightoldstyle;OLDSTYLE DIGIT EIGHT;<osf> 0038
F739;nineoldstyle;OLDSTYLE DIGIT NINE;<osf> 0039
F73F;questionsmall;SMALL CAPITAL QUESTION MARK;<sc> 003F
F760;Gravesmall;SMALL CAPITAL GRAVE ACCENT;<sc> 0060
F761;Asmall;LATIN SMALL CAPITAL LETTER A;<sc> 0061
F762;Bsmall;LATIN SMALL CAPITAL LETTER B;<sc> 0062
F763;Csmall;LATIN SMALL CAPITAL LETTER C;<sc> 0063
F764;Dsmall;LATIN SMALL CAPITAL LETTER D;<sc> 0064
F765;Esmall;LATIN SMALL CAPITAL LETTER E;<sc> 0065
F766;Fsmall;LATIN SMALL CAPITAL LETTER F;<sc> 0066
F767;Gsmall;LATIN SMALL CAPITAL LETTER G;<sc> 0067
F768;Hsmall;LATIN SMALL CAPITAL LETTER H;<sc> 0068
F769;Ismall;LATIN SMALL CAPITAL LETTER I;<sc> 0069
F76A;Jsmall;LATIN SMALL CAPITAL LETTER J;<sc> 006A
F76B;Ksmall;LATIN SMALL CAPITAL LETTER K;<sc> 006B
F76C;Lsmall;LATIN SMALL CAPITAL LETTER L;<sc> 006C
F76D;Msmall;LATIN SMALL CAPITAL LETTER M;<sc> 006D
F76E;Nsmall;LATIN SMALL CAPITAL LETTER N;<sc> 006E
F76F;Osmall;LATIN SMALL CAPITAL LETTER O;<sc> 006F
F770;Psmall;LATIN SMALL CAPITAL LETTER P;<sc> 0070
F771;Qsmall;LATIN SMALL CAPITAL LETTER Q;<sc> 0071
F772;Rsmall;LATIN SMALL CAPITAL LETTER R;<sc> 0072
F773;Ssmall;LATIN SMALL CAPITAL LETTER S;<sc> 0073
F774;Tsmall;LATIN SMALL CAPITAL LETTER T;<sc> 0074
F775;Usmall;LATIN SMALL CAPITAL LETTER U;<sc> 0075
F776;Vsmall;LATIN SMALL CAPITAL LETTER V;<sc> 0076
F777;Wsmall;LATIN SMALL CAPITAL LETTER W;<sc> 0077
